Organization legal name or 'doing business as' name,Group PAC ID, State,Measure Identifier,Measure Title,Measure Performance Rate,Reporting Mechanism,Reported on PC Live Site
HERITAGE VALLEY MEDICAL GROUP INC,42105678.000,PA,CAHPS_GRP_1,Getting timely care, appointments, and information.,63.000,$null$,$null$
HERITAGE VALLEY MEDICAL GROUP INC,42105678.000,PA,CAHPS_GRP_10,Between visit communication.,49.000,$null$,$null$
HERITAGE VALLEY MEDICAL GROUP INC,42105678.000,PA,CAHPS_GRP_12,Attention to patient medication cost.,27.000,$null$,$null$
HERITAGE VALLEY MEDICAL GROUP INC,42105678.000,PA,CAHPS_GRP_2,How well clinicians communicate.,86.000,$null$,$null$
HERITAGE VALLEY MEDICAL GROUP INC,42105678.000,PA,CAHPS_GRP_3,Patients' rating of clinicians.,83.000,$null$,$null$
HERITAGE VALLEY MEDICAL GROUP INC,42105678.000,PA,CAHPS_GRP_5,Health promotion and education.,59.000,$null$,$null$
HERITAGE VALLEY MEDICAL GROUP INC,42105678.000,PA,CAHPS_GRP_8,Courteous and helpful office staff.,83.000,$null$,$null$
HERITAGE VALLEY MEDICAL GROUP INC,42105678.000,PA,CAHPS_GRP_9,Clinicians working together for your care.,77.000,$null$,$null$
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981.000,MN,CAHPS_GRP_1,Getting timely care, appointments, and information.,42.000,$null$,$null$
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981.000,MN,CAHPS_GRP_10,Between visit communication.,68.000,$null$,$null$
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981.000,MN,CAHPS_GRP_12,Attention to patient medication cost.,23.000,$null$,$null$
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981.000,MN,CAHPS_GRP_2,How well clinicians communicate.,75.000,$null$,$null$
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981.000,MN,CAHPS_GRP_3,Patients' rating of clinicians.,73.000,$null$,$null$
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981.000,MN,CAHPS_GRP_5,Health promotion and education.,55.000,$null$,$null$
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981.000,MN,CAHPS_GRP_8,Courteous and helpful office staff.,76.000,$null$,$null$
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981.000,MN,CAHPS_GRP_9,Clinicians working together for your care.,74.000,$null$,$null$
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548.000,TX,CAHPS_GRP_1,Getting timely care, appointments, and information.,56.000,$null$,$null$
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548.000,TX,CAHPS_GRP_10,Between visit communication.,68.000,$null$,$null$
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548.000,TX,CAHPS_GRP_12,Attention to patient medication cost.,20.000,$null$,$null$
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548.000,TX,CAHPS_GRP_2,How well clinicians communicate.,83.000,$null$,$null$
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548.000,TX,CAHPS_GRP_3,Patients' rating of clinicians.,79.000,$null$,$null$
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548.000,TX,CAHPS_GRP_5,Health promotion and education.,64.000,$null$,$null$
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548.000,TX,CAHPS_GRP_8,Courteous and helpful office staff.,79.000,$null$,$null$
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548.000,TX,CAHPS_GRP_9,Clinicians working together for your care.,72.000,$null$,$null$
CAROLINAEAST PHYSICIANS,143378117.000,NC,CAHPS_GRP_1,Getting timely care, appointments, and information.,64.000,$null$,$null$
CAROLINAEAST PHYSICIANS,143378117.000,NC,CAHPS_GRP_10,Between visit communication.,56.000,$null$,$null$
CAROLINAEAST PHYSICIANS,143378117.000,NC,CAHPS_GRP_12,Attention to patient medication cost.,31.000,$null$,$null$
CAROLINAEAST PHYSICIANS,143378117.000,NC,CAHPS_GRP_2,How well clinicians communicate.,85.000,$null$,$null$
CAROLINAEAST PHYSICIANS,143378117.000,NC,CAHPS_GRP_3,Patients' rating of clinicians.,85.000,$null$,$null$
CAROLINAEAST PHYSICIANS,143378117.000,NC,CAHPS_GRP_5,Health promotion and education.,57.000,$null$,$null$
CAROLINAEAST PHYSICIANS,143378117.000,NC,CAHPS_GRP_8,Courteous and helpful office staff.,85.000,$null$,$null$
CAROLINAEAST PHYSICIANS,143378117.000,NC,CAHPS_GRP_9,Clinicians working together for your care.,76.000,$null$,$null$
NEWTON WELLESLEY AMBULATORY SERVICES, INC,244133494.000,MA,CAHPS_GRP_1,Getting timely care, appointments, and information.,62.000,$null$,$null$
NEWTON WELLESLEY AMBULATORY SERVICES, INC,244133494.000,MA,CAHPS_GRP_10,Between visit communication.,53.000,$null$,$null$
NEWTON WELLESLEY AMBULATORY SERVICES, INC,244133494.000,MA,CAHPS_GRP_12,Attention to patient medication cost.,16.000,$null$,$null$
NEWTON WELLESLEY AMBULATORY SERVICES, INC,244133494.000,MA,CAHPS_GRP_2,How well clinicians communicate.,85.000,$null$,$null$
NEWTON WELLESLEY AMBULATORY SERVICES, INC,244133494.000,MA,CAHPS_GRP_3,Patients' rating of clinicians.,80.000,$null$,$null$
NEWTON WELLESLEY AMBULATORY SERVICES, INC,244133494.000,MA,CAHPS_GRP_5,Health promotion and education.,69.000,$null$,$null$
NEWTON WELLESLEY AMBULATORY SERVICES, INC,244133494.000,MA,CAHPS_GRP_8,Courteous and helpful office staff.,82.000,$null$,$null$
NEWTON WELLESLEY AMBULATORY SERVICES, INC,244133494.000,MA,CAHPS_GRP_9,Clinicians working together for your care.,78.000,$null$,$null$
W A FOOTE MEMORIAL HOSPITAL INC,244136067.000,MI,CAHPS_GRP_1,Getting timely care, appointments, and information.,47.000,$null$,$null$
W A FOOTE MEMORIAL HOSPITAL INC,244136067.000,MI,CAHPS_GRP_10,Between visit communication.,58.000,$null$,$null$
W A FOOTE MEMORIAL HOSPITAL INC,244136067.000,MI,CAHPS_GRP_12,Attention to patient medication cost.,25.000,$null$,$null$
W A FOOTE MEMORIAL HOSPITAL INC,244136067.000,MI,CAHPS_GRP_2,How well clinicians communicate.,82.663,$null$,$null$
