Organization legal name or 'doing business as' name,Group PAC ID, State,Measure Identifier,Measure Title,Measure Performance Rate,Footnote,State,Participating in PQRS,Inverse Measure,Reporting Mechanism,Reported on PC Live Site
HERITAGE VALLEY MEDICAL GROUP INC,42105678.000,PA,CAHPS_GRP_1,Getting timely care, appointments, and information.,63.000,$null$,$null$,$null$,$null$,$null$,$null$
HERITAGE VALLEY MEDICAL GROUP INC,42105678.000,PA,CAHPS_GRP_10,Between visit communication.,49.000,$null$,$null$,$null$,$null$,$null$,$null$
HERITAGE VALLEY MEDICAL GROUP INC,42105678.000,PA,CAHPS_GRP_12,Attention to patient medication cost.,27.000,$null$,$null$,$null$,$null$,$null$,$null$
HERITAGE VALLEY MEDICAL GROUP INC,42105678.000,PA,CAHPS_GRP_2,How well clinicians communicate.,86.000,$null$,$null$,$null$,$null$,$null$,$null$
HERITAGE VALLEY MEDICAL GROUP INC,42105678.000,PA,CAHPS_GRP_3,Patients' rating of clinicians.,83.000,$null$,$null$,$null$,$null$,$null$,$null$
HERITAGE VALLEY MEDICAL GROUP INC,42105678.000,PA,CAHPS_GRP_5,Health promotion and education.,59.000,$null$,$null$,$null$,$null$,$null$,$null$
HERITAGE VALLEY MEDICAL GROUP INC,42105678.000,PA,CAHPS_GRP_8,Courteous and helpful office staff.,83.000,$null$,$null$,$null$,$null$,$null$,$null$
HERITAGE VALLEY MEDICAL GROUP INC,42105678.000,PA,CAHPS_GRP_9,Clinicians working together for your care.,77.000,$null$,$null$,$null$,$null$,$null$,$null$
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981.000,MN,CAHPS_GRP_1,Getting timely care, appointments, and information.,42.000,$null$,$null$,$null$,$null$,$null$,$null$
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981.000,MN,CAHPS_GRP_10,Between visit communication.,68.000,$null$,$null$,$null$,$null$,$null$,$null$
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981.000,MN,CAHPS_GRP_12,Attention to patient medication cost.,23.000,$null$,$null$,$null$,$null$,$null$,$null$
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981.000,MN,CAHPS_GRP_2,How well clinicians communicate.,75.000,$null$,$null$,$null$,$null$,$null$,$null$
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981.000,MN,CAHPS_GRP_3,Patients' rating of clinicians.,73.000,$null$,$null$,$null$,$null$,$null$,$null$
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981.000,MN,CAHPS_GRP_5,Health promotion and education.,55.000,$null$,$null$,$null$,$null$,$null$,$null$
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981.000,MN,CAHPS_GRP_8,Courteous and helpful office staff.,76.000,$null$,$null$,$null$,$null$,$null$,$null$
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981.000,MN,CAHPS_GRP_9,Clinicians working together for your care.,74.000,$null$,$null$,$null$,$null$,$null$,$null$
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548.000,TX,CAHPS_GRP_1,Getting timely care, appointments, and information.,56.000,$null$,$null$,$null$,$null$,$null$,$null$
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548.000,TX,CAHPS_GRP_10,Between visit communication.,68.000,$null$,$null$,$null$,$null$,$null$,$null$
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548.000,TX,CAHPS_GRP_12,Attention to patient medication cost.,20.000,$null$,$null$,$null$,$null$,$null$,$null$
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548.000,TX,CAHPS_GRP_2,How well clinicians communicate.,83.000,$null$,$null$,$null$,$null$,$null$,$null$
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548.000,TX,CAHPS_GRP_3,Patients' rating of clinicians.,79.000,$null$,$null$,$null$,$null$,$null$,$null$
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548.000,TX,CAHPS_GRP_5,Health promotion and education.,64.000,$null$,$null$,$null$,$null$,$null$,$null$
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548.000,TX,CAHPS_GRP_8,Courteous and helpful office staff.,79.000,$null$,$null$,$null$,$null$,$null$,$null$
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548.000,TX,CAHPS_GRP_9,Clinicians working together for your care.,72.000,$null$,$null$,$null$,$null$,$null$,$null$
CAROLINAEAST PHYSICIANS,143378117.000,NC,CAHPS_GRP_1,Getting timely care, appointments, and information.,64.000,$null$,$null$,$null$,$null$,$null$,$null$
CAROLINAEAST PHYSICIANS,143378117.000,NC,CAHPS_GRP_10,Between visit communication.,56.000,$null$,$null$,$null$,$null$,$null$,$null$
CAROLINAEAST PHYSICIANS,143378117.000,NC,CAHPS_GRP_12,Attention to patient medication cost.,31.000,$null$,$null$,$null$,$null$,$null$,$null$
CAROLINAEAST PHYSICIANS,143378117.000,NC,CAHPS_GRP_2,How well clinicians communicate.,85.000,$null$,$null$,$null$,$null$,$null$,$null$
CAROLINAEAST PHYSICIANS,143378117.000,NC,CAHPS_GRP_3,Patients' rating of clinicians.,85.000,$null$,$null$,$null$,$null$,$null$,$null$
